GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:1902498	regulation of protein autoubiquitination	biological_process	0.019572726	1	1	ENSAPLT00000008063	SASH1
GO:1902548	negative regulation of cellular response to vascular endothelial growth factor stimulus	biological_process	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	biological_process	0.019572726	1	1	ENSAPLT00000004801	CD274
GO:1903712	cysteine transmembrane transport	biological_process	0.019572726	1	1	ENSAPLT00000015672	SLC1A1
GO:1904188	negative regulation of transformation of host cell by virus	biological_process	0.019572726	1	1	ENSAPLT00000010574	FBLN1
GO:1904293	negative regulation of ERAD pathway	biological_process	0.019572726	1	1	ENSAPLT00000014755	USP25
GO:2000287	positive regulation of myotome development	biological_process	0.019572726	1	1	ENSAPLT00000014443	DMRT2
GO:2001113	negative regulation of cellular response to hepatocyte growth factor stimulus	biological_process	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:0071560	cellular response to transforming growth factor beta stimulus	biological_process	0.020404573	3	30	ENSAPLT00000009685, ENSAPLT00000001256, ENSAPLT00000003302	WWOX, SMAD7, SOX5
GO:0005578	proteinaceous extracellular matrix	cellular_component	0.021763988	7	142	ENSAPLT00000004766, ENSAPLT00000016999, ENSAPLT00000002531, ENSAPLT00000011034, ENSAPLT00000006867, ENSAPLT00000010710, ENSAPLT00000010574	ADAMTS19, HAPLN1, ADAMTS12, WNT7B, unknow, EGFLAM, FBLN1
GO:0015908	fatty acid transport	biological_process	0.022140696	2	12	ENSAPLT00000005242, ENSAPLT00000005525	SLC27A6, SLC27A3
GO:0045471	response to ethanol	biological_process	0.022140696	2	12	ENSAPLT00000008306, ENSAPLT00000004160	GRIN3A, GRIN2A
GO:0030136	clathrin-coated vesicle	cellular_component	0.022271011	3	31	ENSAPLT00000005018, ENSAPLT00000005433, ENSAPLT00000009668	SNX18, VPS41, DAB2
GO:0008201	heparin binding	molecular_function	0.022468583	4	55	ENSAPLT00000003284, ENSAPLT00000013331, ENSAPLT00000009928, ENSAPLT00000006449	FGF10, PTCH1, CHRD, THBS4
GO:0031012	extracellular matrix	cellular_component	0.023679053	6	113	ENSAPLT00000004766, ENSAPLT00000016999, ENSAPLT00000003284, ENSAPLT00000002531, ENSAPLT00000006449, ENSAPLT00000010574	ADAMTS19, HAPLN1, FGF10, ADAMTS12, THBS4, FBLN1
GO:0007409	axonogenesis	biological_process	0.023835544	4	56	ENSAPLT00000016974, ENSAPLT00000001177, ENSAPLT00000001777, ENSAPLT00000007126	DLX5, CCK, unknow, SLITRK5
GO:0016817	hydrolase activity, acting on acid anhydrides	molecular_function	0.025832513	2	13	ENSAPLT00000014555, ENSAPLT00000015756	SMARCA2, DDX58
GO:0019955	cytokine binding	molecular_function	0.025832513	2	13	ENSAPLT00000012265, ENSAPLT00000011401	IL31RA, CRLF1
GO:0042472	inner ear morphogenesis	biological_process	0.026717915	4	58	ENSAPLT00000003284, ENSAPLT00000016974, ENSAPLT00000016966, ENSAPLT00000012065	FGF10, DLX5, DLX6, SPRY2
GO:0005829	cytosol	cellular_component	0.027425425	15	441	ENSAPLT00000005975, ENSAPLT00000004287, ENSAPLT00000005433, ENSAPLT00000013625, ENSAPLT00000014042, ENSAPLT00000013225, ENSAPLT00000014571, ENSAPLT00000012376, ENSAPLT00000012065, ENSAPLT00000003400, ENSAPLT00000005454, ENSAPLT00000016451, ENSAPLT00000010287, ENSAPLT00000014118, ENSAPLT00000012953	PLIN2, RIC1, VPS41, PLA2G4A, CDO1, EDN1, MOCS2, PDCD6IP, SPRY2, RXFP3, DENND4C, DNAJA1, PLCZ1, FANCC, TLE1
GO:0031532	actin cytoskeleton reorganization	biological_process	0.028409765	3	34	ENSAPLT00000003284, ENSAPLT00000003494, ENSAPLT00000011317	FGF10, PARVG, FER
GO:0008285	negative regulation of cell proliferation	biological_process	0.02949971	9	220	ENSAPLT00000014555, ENSAPLT00000003284, ENSAPLT00000013331, ENSAPLT00000004798, ENSAPLT00000013907, ENSAPLT00000012065, ENSAPLT00000001777, ENSAPLT00000001014, ENSAPLT00000007952	SMARCA2, FGF10, PTCH1, INHBA, ITGA1, SPRY2, unknow, F2R, HSF1
GO:0003993	acid phosphatase activity	molecular_function	0.029754148	2	14	ENSAPLT00000010637, ENSAPLT00000010640	PPIP5K2, PPIP5K2
GO:0060037	pharyngeal system development	biological_process	0.029754148	2	14	ENSAPLT00000013725, ENSAPLT00000013331	ISL1, PTCH1
GO:0060322	head development	biological_process	0.029754148	2	14	ENSAPLT00000016974, ENSAPLT00000016966	DLX5, DLX6
GO:0007613	memory	biological_process	0.030635212	3	35	ENSAPLT00000005954, ENSAPLT00000004834, ENSAPLT00000004160	PLK2, SLC24A2, GRIN2A
GO:0060021	palate development	biological_process	0.031416949	4	61	ENSAPLT00000016974, ENSAPLT00000004798, ENSAPLT00000016966, ENSAPLT00000001229	DLX5, INHBA, DLX6, ALX1
