GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0051279	regulation of release of sequestered calcium ion into cytosol	biological_process	0.002307342	3	10	"ENSAPLT00000001815, ENSAPLT00000012154, ENSAPLT00000015405"	"NGF, CORO1A, PRKD1"
GO:0070779	D-aspartate import	biological_process	0.002337179	2	3	"ENSAPLT00000015672, ENSAPLT00000007816"	"SLC1A1, SLC1A3"
GO:0001105	RNA polymerase II transcription coactivator activity	molecular_function	0.002552806	4	21	"ENSAPLT00000013725, ENSAPLT00000014555, ENSAPLT00000009685, ENSAPLT00000011528"	"ISL1, SMARCA2, WWOX, TBX20"
GO:0050808	synapse organization	biological_process	0.003051423	4	22	"ENSAPLT00000009208, ENSAPLT00000011034, ENSAPLT00000010288, ENSAPLT00000012605"	"ANK3, WNT7B, unknow, LRRC4"
GO:0015908	fatty acid transport	biological_process	0.004056028	3	12	"ENSAPLT00000012251, ENSAPLT00000005525, ENSAPLT00000005242"	"MFSD2A, SLC27A3, SLC27A6"
GO:0045111	intermediate filament cytoskeleton	cellular_component	0.004068126	5	38	"ENSAPLT00000015410, ENSAPLT00000004354, ENSAPLT00000014555, ENSAPLT00000008468, ENSAPLT00000006717"	"PKN2, STUB1, SMARCA2, SEC62, KRT4"
GO:0048514	blood vessel morphogenesis	biological_process	0.004239907	4	24	"ENSAPLT00000014702, ENSAPLT00000003284, ENSAPLT00000013225, ENSAPLT00000012646"	"MKL2, FGF10, EDN1, unknow"
GO:0000209	protein polyubiquitination	biological_process	0.00438864	6	55	"ENSAPLT00000009693, ENSAPLT00000004354, ENSAPLT00000008015, ENSAPLT00000008063, ENSAPLT00000010121, ENSAPLT00000014020"	"RNF180, STUB1, SKP2, SASH1, ERCC8, KLHL42"
GO:0003338	metanephros morphogenesis	biological_process	0.004587048	2	4	"ENSAPLT00000011034, ENSAPLT00000003284"	"WNT7B, FGF10"
GO:0008528	G-protein coupled peptide receptor activity	molecular_function	0.004587048	2	4	"ENSAPLT00000003400, ENSAPLT00000016642"	"RXFP3, GPR37"
GO:0010631	epithelial cell migration	biological_process	0.004587048	2	4	"ENSAPLT00000015410, ENSAPLT00000003284"	"PKN2, FGF10"
GO:0038180	nerve growth factor signaling pathway	biological_process	0.004587048	2	4	"ENSAPLT00000001815, ENSAPLT00000012154"	"NGF, CORO1A"
GO:0051938	L-glutamate import	biological_process	0.004587048	2	4	"ENSAPLT00000015672, ENSAPLT00000007816"	"SLC1A1, SLC1A3"
GO:0071546	pi-body	cellular_component	0.004587048	2	4	"ENSAPLT00000012138, ENSAPLT00000014617"	"DDX4, PIWIL2"
GO:0031072	heat shock protein binding	molecular_function	0.004936749	4	25	"ENSAPLT00000016451, ENSAPLT00000013371, ENSAPLT00000010685, ENSAPLT00000016642"	"DNAJA1, TPR, PACRG, GPR37"
GO:0019955	cytokine binding	molecular_function	0.005163427	3	13	"ENSAPLT00000004290, ENSAPLT00000011401, ENSAPLT00000012265"	"KIT, CRLF1, IL31RA"
GO:0050852	T cell receptor signaling pathway	biological_process	0.005706446	4	26	"ENSAPLT00000011198, ENSAPLT00000012646, ENSAPLT00000005615, ENSAPLT00000002477"	"PLCG2, unknow, PDE4D, ZAP70"
GO:0060322	head development	biological_process	0.006435477	3	14	"ENSAPLT00000005506, ENSAPLT00000016966, ENSAPLT00000016974"	"IL11RA, DLX6, DLX5"
